Row,Equipment Number,Original Description,Suspect Tokens
1,2000000262,Valve Equipment-jv,jv
2,2000000285,Instrument Equipment-jv,jv
3,2000000437,Instrument Equipment-jv,jv
4,2000000438,Valve Equipment-jv,jv
5,2000000439,Accessory Equipment-jv,jv
6,2000000440,Accessory Equipment-jv,jv
7,2000000441,Instrument Equipment-jv,jv
8,2000000442,Valve Equipment-jv,jv
9,2000000443,Accessory Equipment-jv,jv
10,2000000444,Instrument Equipment-jv,jv
11,2000000445,Valve Equipment-jv,jv
12,2000000446,Accessory Equipment-jv,jv
13,2000000447,Accessory Equipment-jv,jv
14,2000000448,Instrument Equipment-jv,jv
15,2000000449,Valve Equipment-jv,jv
16,2000000646,Instrument Equipment-jv,jv
17,2000000647,Accessory Equipment-jv,jv
18,2000000648,Instrument Equipment-jv,jv
19,2000000649,Instrument Equipment-jv,jv
20,2000000670,Instrument Equipment-jv,jv
21,2000000671,Instrument Equipment-jv,jv
22,2000000672,Accessory Equipment-jv,jv
73,2000004817,E Locker Room,E
112,2000005119,I&c Shop Computer Room Building,"c, I"
117,2000005124,19A Edh Heater,19A
221,2000006640,AQCS Landfill Structure,Structure
341,2000132989,Ah Soot Blowng Stmsplyvlvs Cntl Module,Ah
355,2000133322,31 Sec Air Heater Sootblower Thermal Dr,Dr
452,2000133329,32 Sec Air Heater Thermal Drian,Drian
468,2000009797,Turbine Water Induction Prot E Check Valve,E
470,2000010512,Sp Supply Header Globe Valve,Sp
498,2000011354,Ta Equipment,Ta
501,2000011357,Ta Equipment,Ta
502,2000011358,Ta Equipment,Ta
505,2000011361,Ta Equipment,Ta
507,2000011363,Ta Equipment,Ta
515,2000011371,Ta Equipment,Ta
517,2000011373,Ta Equipment,Ta
520,2000011376,Ta Equipment,Ta
524,2000011380,Ta Equipment,Ta
527,2000011383,Ta Equipment,Ta
531,2000011387,Ta Equipment,Ta
534,2000011390,Ta Equipment,Ta
537,2000011393,Ta Equipment,Ta
540,2000011396,Ta Equipment,Ta
548,2000011704,Ta Equipment,Ta
550,2000011706,Ta Equipment,Ta
555,2000011711,Ta Equipment,Ta
586,2000011744,Ta Equipment,Ta
588,2000011746,Ta Equipment,Ta
591,2000011749,Ta Equipment,Ta
594,2000011752,Ta Equipment,Ta
595,2000011753,Ta Equipment,Ta
599,2000011769,Ta Equipment,Ta
600,2000011770,Ta Equipment,Ta
604,2000011774,Ta Equipment,Ta
606,2000011776,Ta Equipment,Ta
608,2000011778,Ta Equipment,Ta
617,2000011787,Ta Equipment,Ta
619,2000011789,Ta Equipment,Ta
629,2000012100,Ta Equipment,Ta
632,2000012103,Ta Equipment,Ta
640,2000012111,Ta Equipment,Ta
661,2000012163,Ta Equipment,Ta
669,2000012501,Ta Equipment,Ta
677,2000012551,Ta Equipment,Ta
678,2000012552,Ta Equipment,Ta
686,2000012909,Ta Equipment,Ta
695,2000012946,Ta Equipment,Ta
700,2000012957,Ta Equipment,Ta
706,2000133928,East Header Pressure Control Valve E/P,"E, East, P"
726,2000133930,West Header Pressure Control Valve E/P,"E, P, West"
734,2000013359,Ta Equipment,Ta
746,2000013776,Ta Equipment,Ta
754,2000014148,Ta Equipment,Ta
763,2000014582,Ta Equipment,Ta
767,2000014960,Ta Equipment,Ta
774,2000014967,Ta Equipment,Ta
783,2000015349,Ta Equipment,Ta
791,2000133932,Ah Header Pressure Control Valve E/P,"Ah, E, P"
794,2000015393,P027 Personnel Door,P027
796,2000015705,Ta Equipment,Ta
799,2000015708,Ta Equipment,Ta
821,2000016197,Ash Water Recycle Return Strainer St 3101,St
