Equipment Number,Original Description,Suggested Edit,Confidence,Reasoning,Object Type (Original),Object Type (Suggested),Functional System Category,Functional System
2000000262,Valve Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,HOUSE AIR
2000000285,Instrument Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,HOUSE AIR
2000000437,Instrument Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FEEDWATER,CHEMICAL FEED
2000000438,Valve Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FEEDWATER,CHEMICAL FEED
2000000439,Accessory Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,CRANE
2000000440,Accessory Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,FIRE PROTECTION
2000000441,Instrument Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,FIRE PROTECTION
2000000442,Valve Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,FIRE PROTECTION
2000000443,Accessory Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,HVAC
2000000444,Instrument Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,HVAC
2000000445,Valve Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,HVAC
2000000446,Accessory Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,BUILDING(S)
2000000447,Accessory Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SOFTENED WELL POTABLE WATER
2000000448,Instrument Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SOFTENED WELL POTABLE WATER
2000000449,Valve Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,SOFTENED WELL POTABLE WATER
2000000646,Instrument Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,BLOWDOWN
2000000647,Accessory Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,MAKEUP
2000000648,Instrument Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,MAKEUP
2000000649,Instrument Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,#N/A,#N/A
2000000670,Instrument Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ENVIRONMENTAL,BLOWDOWN
2000000671,Instrument Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FLUE GAS SCRUBBING,REAGENT PREPARATION
2000000672,Accessory Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FEEDWATER,CHEMICAL FEED
2000003238,Air Preheater,,100,No change needed; Object Type mapped HEATR -> Heater,HEATR,Heater,BOILER,AIR PREHEAT
2000003239,Screen,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,STRUCTURE
2000003301,Dc Panel Switch,DC Panel Switch,95,Forced acronym uppercase: DC; Object Type mapped SWCH -> Switch,SWCH,Switch,ELECTRICAL,ESSENTIAL POWER
2000003302,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,FEEDWATER,BOILER FEED
2000003309,Heater,,100,No change needed; Object Type mapped HEATR -> Heater,HEATR,Heater,PLANT,HVAC
2000003958,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,MAKE-UP WATER,#N/A
2000003959,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,MAKE-UP WATER,#N/A
2000003960,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ENVIRONMENTAL,WASTE DISPOSAL
2000003961,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ENVIRONMENTAL,WASTE DISPOSAL
2000003962,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ELECTRICAL,EMERGENCY GENERATION
2000003963,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ELECTRICAL,EMERGENCY GENERATION
2000003964,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,ELECTRICAL,EMERGENCY GENERATION
2000003988,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,MAKE-UP WATER,#N/A
2000003989,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,BOILER,WATER WALL
2000003990,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,BOILER,WATER WALL
2000003991,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,BLOWDOWN
2000003992,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,BLOWDOWN
2000003993,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,CHEMICAL FEED
2000004206,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,CHEMICAL FEED
2000004207,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,MAKEUP
2000004208,Instrument Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,MAKEUP
2000004209,Valve Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,COOLING TOWER,MAKEUP
2000004214,Accessory Equipment,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,CIRCULATING WATER,DISCHARGE
