Token,Count
valve,11820
31,8537
water,7764
pressure,7213
32,6332
isolation,5767
pump,5360
air,5153
switch,4800
1,4513
heater,4151
2,3872
supply,3560
33,3400
spare,3337
vent,2933
drain,2859
ff,2673
control,2577
outlet,2574
tank,2504
limit,2497
fan,2461
oil,2373
3,2340
indicator,2336
pulverizer,2309
ash,2303
hot,2254
inlet,2212
motor,2091
temperature,2081
unit,2035
damper,1980
filter,1946
coal,1873
discharge,1811
low,1767
steam,1609
cooling,1579
header,1534
high,1519
aux,1518
hopper,1510
line,1500
fbm,1470
flow,1411
open,1409
silo,1390
power,1351
south,1339
level,1277
4,1258
fabric,1249
light,1233
return,1221
to,1217
closed,1193
cabinet,1178
el,1115
building,1114
burner,1071
boiler,1055
ta,1025
34,998
matrix,963
207c,908
compartment,901
seal,885
test,884
cv,864
main,857
feed,857
blow,852
feeder,852
c,843
aqcs,843
gen,833
mill,831
transmitter,823
e,811
lime,798
coil,786
equipment,769
r,769
36,758
solinoid,756
temp,754
spray,754
ahu,751
haq,747
5,727
breaker,721
sec,721
bfp,708
t,702
0ab,698
bfpt,696
sus,682
storage,668
306,663
tower,645
recycle,641
north,636
302,629
304,623
drive,623
310,622
transformer,622
301,621
305,614
303,612
in,606
307,605
a,604
rm,600
fdr,600
b,599
37,597
bearing,595
308,577
bus,570
stg,565
area,564
absorber,564
i,553
sootblower,552
309,552
well,545
space,543
id,530
lube,513
sh,511
leg,506
dp,502
blower,498
turbine,496
gate,494
receptacle,492
4ab,473
3ab,468
st,467
11,467
6,465
lo,464
w,462
recp,457
l,456
recirculation,453
16,451
fp,451
cooler,450
atomizer,449
close,448
compressor,445
gas,438
panel,431
10,431
ls,430
xmtr,426
201,420
ac,418
202,417
extraction,416
bottom,411
instr,411
d,410
heat,408
12,392
disconnect,392
balance,392
35,390
phase,388
heating,384
resist,380
element,380
solenoid,375
cab,370
lighting,370
xfr,368
cd,367
trb,366
solids,361
htb,361
west,360
east,359
check,358
aph,354
h,353
transfer,351
input,350
circ,349
pri,345
ltg,345
vacuum,343
suct,342
local,342
gage,340
7,338
switchitch,338
swtch,333
13,332
additive,330
rev,329
hose,329
chiller,326
res,326
lance,325
clr,324
co,321
trip,321
fire,317
sbwb,317
quick,317
f,315
er,314
9,314
differential,314
igntr,312
970,311
flush,310
m,310
14,304
exchanger,304
ungrd,304
relief,302
01,301
system,301
hph,300
euh,298
15,297
g,297
